1995-08-22, 0.51
1995-08-23, 1.24
1995-08-24, 0.25
1995-08-25, 0.07
1995-08-26, 0.04
1995-08-27, 3.21
1995-08-28, 3.70
1995-08-29, 1.11
1995-08-30, 0.53
1995-08-31, 3.04
1995-09-01, 2.28
1995-09-02, 1.45
1995-09-03, 0.00
1995-09-04, 0.00
1995-09-05, 0.00
1995-09-06, 0.00
1995-09-07, 0.91
1995-09-08, 5.82
1995-09-09, 3.81
1995-09-10, 2.49
1995-09-11, 3.03
1995-09-12, 3.89
1995-09-13, 1.35
1995-09-14, 3.84
1995-09-15, 6.56
1995-09-16, 7.12
1995-09-17, 4.62
1995-09-18, 0.77
1995-09-19, 0.85
1995-09-20, 0.55
1995-09-21, 0.22
1995-09-22, 1.82
1995-09-23, 3.55
1995-09-24, 6.99
1995-09-25, 3.23
1995-09-26, 6.41
1995-09-27, 7.41
1995-09-28, 1.85
1995-09-29, 1.18
1995-09-30, 1.39
1995-10-01, 0.24
1995-10-02, 1.69
1995-10-03, 1.81
1995-10-04, 6.57
1995-10-05, 2.28
1995-10-06, 3.09
1995-10-07, 4.20
1995-10-08, 6.42
1995-10-09, 3.29
1995-10-10, 7.17
1995-10-11, 4.12
1995-10-12, 2.16
1995-10-13, 0.00
1995-10-14, 0.00
1995-10-15, 0.40
1995-10-16, 0.65
1995-10-17, 2.23
1995-10-18, 2.04
1995-10-19, 1.79
1995-10-20, 0.24
1995-10-21, 2.53
1995-10-22, 7.68
1995-10-23, 6.04
1995-10-24, 4.88
1995-10-25, 3.69
1995-10-26, 1.61
1995-10-27, 0.08
1995-10-28, 0.00
1995-10-29, 0.00
1995-10-30, 0.33
1995-10-31, 1.26
1995-11-01, 2.34
1995-11-02, 3.25
1995-11-03, 3.58
1995-11-04, 6.43
1995-11-05, 5.26
1995-11-06, 3.48
1995-11-07, 0.49
1995-11-08, 0.04
1995-11-09, 0.76
1995-11-10, 0.13
1995-11-11, 4.01
1995-11-12, 2.76
1995-11-13, 2.98
1995-11-14, 1.48
1995-11-15, 0.24
1995-11-16, 0.67
1995-11-17, 1.10
1995-11-18, 4.85
1995-11-19, 5.38
1995-11-20, 5.77
1995-11-21, 1.21
1995-11-22, 0.55
1995-11-23, 2.97
1995-11-24, 4.10
1995-11-25, 3.43
1995-11-26, 0.34
1995-11-27, 0.00
1995-11-28, 0.91
1995-11-29, 0.94
1995-11-30, 0.43
1995-12-01, 0.00
1995-12-02, 1.34
1995-12-03, 0.98
1995-12-04, 0.00
1995-12-05, 0.69
1995-12-06, 2.34
1995-12-07, 2.19
1995-12-08, 0.20
1995-12-09, 0.00
1995-12-10, 0.00
1995-12-11, 0.33
1995-12-12, 3.43
1995-12-13, 5.61
1995-12-14, 8.14
1995-12-15, 3.77
1995-12-16, 1.85
1995-12-17, 4.31
1995-12-18, 6.15
1995-12-19, 3.40
1995-12-20, 4.14
1995-12-21, 0.00
1995-12-22, 0.24
1995-12-23, 0.74
1995-12-24, 0.00
1995-12-25, 0.69
1995-12-26, 0.08
1995-12-27, 1.21
1995-12-28, 1.65
1995-12-29, 3.96
1995-12-30, 3.61
1995-12-31, 2.77
